Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2022,February,09/02/2022,20:30,Wednesday,0,148,00:37:05,37.08,96,126,0.5,0,0,,,,,0,,0,0,109,18,37:05.20.5,1,00:12:25,00:37:07,,
Treadmill Running,2022,February,09/02/2022,20:20,Wednesday,1,52,00:06:23,6.38,120,137,0.7,147,166,06:21,04:51,,,1.07,,0,0,0,,00:02.13.4,2,06:09.1,06:22.6,,
Cycling,2022,February,04/02/2022,11:11,Friday,14.64,685,02:28:17,148.28,104,142,1.4,0,0,5.9,29.7,321,268,0,,0,0,0,,29:33.15.4,3,01:06:32,02:43:49,78,169
Pool Swimming,2022,February,03/02/2022,16:43,Thursday,1.05,191,00:25:41,25.68,125,149,2,0,0,01:57,01:07,,,0,438,40,23,0,,25:40.56.2,1,00:19:26,00:26:32,,
Pool Swimming,2022,January,31/01/2022,18:22,Monday,1.05,178,00:23:41,23.68,123,134,1.5,0,0,02:10,01:24,,,0,463,44,21,0,,23:40.8,1,00:22:16,00:24:01,,
Strength Training,2022,January,30/01/2022,19:58,Sunday,0,57,00:07:23,7.38,120,136,0.6,0,0,,,,,0,,0,0,19,4,07:23.26.5,1,05:49.0,07:23.3,,
Running,2022,January,30/01/2022,19:52,Sunday,0.93,61,00:04:44,4.73,149,166,2,154,173,05:07,04:29,8,14,1.27,,0,0,0,,04:44.28.7,1,00:04:32,04:44.3,355,373
Running,2022,January,30/01/2022,19:45,Sunday,0.67,42,00:03:28,3.47,132,149,1.5,161,172,05:10,04:33,6,8,1.2,,0,0,0,,03:27.65.4,1,00:03:20,03:27.7,354,368
Strength Training,2022,January,28/01/2022,12:26,Friday,0,83,00:11:11,11.18,122,155,1.2,0,0,,,,,0,,0,0,56,8,11:11.42.4,1,05:01.9,00:11:11,,
Treadmill Running,2022,January,28/01/2022,12:08,Friday,3.01,151,00:14:59,14.98,134,149,2,160,179,04:59,04:15,,,1.26,,0,0,0,,00:01.77.7,4,00:14:55,00:14:59,,
Strength Training,2022,January,25/01/2022,18:59,Tuesday,0,15,00:04:40,4.67,91,99,0.1,0,0,,,,,0,,0,0,16,4,04:39.93.7,1,04:16.6,04:39.9,,
Pool Swimming,2022,January,24/01/2022,17:23,Monday,1.01,180,00:18:51,18.85,132,151,2,0,0,01:53,01:17,,,0,383,38,20,0,,18:51.34.4,1,00:18:51,00:21:37,,
Running,2022,January,22/01/2022,23:33,Saturday,4.02,279,00:20:03,20.05,151,173,3.6,164,181,04:59,04:01,59,55,1.22,,0,0,0,,00:07.77.5,5,00:20:01,00:20:08,346,400
Strength Training,2022,January,21/01/2022,16:27,Friday,0,53,00:06:55,6.92,121,136,0.6,0,0,,,,,0,,0,0,24,5,06:54.56.2,1,05:17.2,06:54.6,,
Running,2022,January,21/01/2022,16:10,Friday,2,131,00:12:17,12.28,138,147,2.1,158,168,06:08,04:23,,,1.03,,0,0,0,,00:01.95.5,3,00:12:16,00:12:57,369,370
Pool Swimming,2022,January,17/01/2022,19:17,Monday,0.5,112,00:17:13,17.22,106,133,0.6,0,0,01:55,01:13,,,0,266,40,24,0,,17:12.81.1,1,00:11:03,00:17:20,,
Strength Training,2022,January,12/01/2022,19:05,Wednesday,0,73,00:18:06,18.1,92,116,0.2,0,0,,,,,0,,0,0,39,3,18:05.51.1,1,09:52.8,00:18:06,,
Pool Swimming,2022,January,11/01/2022,17:45,Tuesday,1.01,186,00:19:48,19.8,150,165,2.8,0,0,01:59,01:25,,,0,407,40,21,0,,09:03.04.9,2,00:19:48,00:23:01,,
Running,2022,January,11/01/2022,08:02,Tuesday,2.78,197,00:16:44,16.73,138,158,2.8,162,177,06:01,05:05,41,41,1.03,,0,0,0,,05:04.95.1,3,00:16:43,00:16:54,328,367
Pool Swimming,2022,January,07/01/2022,15:31,Friday,1.05,173,00:27:38,27.63,123,155,2,0,0,02:18,01:52,,,0,602,49,25,0,,27:38.39.7,1,00:24:05,00:28:42,,
Strength Training,2022,January,06/01/2022,19:40,Thursday,0,66,00:08:31,8.52,124,134,0.8,0,0,,,,,0,,0,0,73,11,08:31.26.9,1,04:21.2,08:31.3,,
Running,2022,January,06/01/2022,19:04,Thursday,5.51,390,00:29:25,29.42,141,167,3.8,162,175,05:20,04:44,73,71,1.15,,0,0,0,,02:35.77.9,6,00:29:22,00:29:25,351,376
Strength Training,2022,January,01/01/2022,21:09,Saturday,0,61,00:09:30,9.5,119,134,0.6,0,0,,,,,0,,0,0,90,12,09:29.88.2,1,04:45.2,09:32.0,,
Running,2022,January,01/01/2022,20:48,Saturday,3.37,234,00:19:04,19.07,134,147,3.1,160,172,05:40,04:55,36,34,1.1,,0,0,0,,02:05.80.7,4,00:19:03,00:19:04,351,378
Pool Swimming,2021,December,31/12/2021,15:47,Friday,1,206,00:18:52,18.87,119,138,1.1,0,0,01:39,00:36,,,0,358,34,22,0,,18:51.9,1,00:16:29,00:19:52,,
Strength Training,2021,December,30/12/2021,19:55,Thursday,0,91,00:11:40,11.67,120,138,0.8,0,0,,,,,0,,0,0,7,1,11:40.42.2,1,00:23.4,00:11:40,,
Running,2021,December,30/12/2021,19:31,Thursday,3.26,206,00:14:01,14.02,155,197,3.4,164,183,04:18,03:37,61,60,1.42,,0,0,0,,01:00.43.5,4,00:13:58,00:14:01,350,377
Pool Swimming,2021,December,27/12/2021,21:13,Monday,1,191,00:19:36,19.6,117,136,1,0,0,01:55,01:21,,,0,367,38,19,0,,19:36.41.3,1,00:19:14,00:21:10,,
Running,2021,December,25/12/2021,17:58,Saturday,5.01,354,00:26:23,26.38,149,166,3.8,162,176,05:16,04:35,54,62,1.17,,0,0,0,,00:03.11.1,6,00:26:17,00:26:23,356,375
Strength Training,2021,December,24/12/2021,10:17,Friday,0,102,00:10:15,10.25,136,148,1.9,0,0,,,,,0,,0,0,45,5,10:15.01.8,1,06:51.5,00:10:15,,
Running,2021,December,24/12/2021,09:34,Friday,7.02,516,00:38:48,38.8,159,187,4.2,160,170,05:32,04:52,18,14,1.13,,0,0,0,,00:04.40.5,8,00:38:46,00:38:48,-2,10
Pool Swimming,2021,December,21/12/2021,19:25,Tuesday,1.25,192,00:20:43,20.72,115,129,1,0,0,01:53,01:15,,,0,381,38,20,0,,20:42.54.2,1,00:19:20,00:20:54,,
Strength Training,2021,December,21/12/2021,19:01,Tuesday,0,56,00:07:02,7.03,122,135,0.6,0,0,,,,,0,,0,0,31,4,07:01.63.2,1,02:45.1,07:01.6,,
Treadmill Running,2021,December,21/12/2021,18:40,Tuesday,2.33,125,00:12:05,12.08,134,167,2,152,185,05:12,04:02,,,1.26,,0,0,0,,02:31.74.4,3,00:11:46,00:12:05,,
Strength Training,2021,December,18/12/2021,19:08,Saturday,0,110,00:12:58,12.97,126,153,1.7,0,0,,,,,0,,0,0,17,4,12:57.75.5,1,00:11:04,00:13:33,,
Running,2021,December,18/12/2021,18:37,Saturday,5.49,365,00:25:25,25.42,169,186,4.1,165,178,04:38,03:49,68,69,1.31,,0,0,0,,02:10.11.1,6,00:25:18,00:25:53,349,376
Running,2021,December,18/12/2021,18:34,Saturday,0.23,32,00:02:53,2.88,131,145,0.8,86,163,12:19,05:20,15,,0.95,,0,0,0,,02:53.28.5,1,00:01:30,02:53.3,351,368
Pool Swimming,2021,December,13/12/2021,14:31,Monday,1,169,00:23:46,23.77,113,139,0.9,0,0,02:19,01:20,,,0,522,48,23,0,,23:45.71.1,1,00:23:06,00:24:17,,
Strength Training,2021,December,11/12/2021,19:29,Saturday,0,54,00:06:06,6.1,124,144,0.7,0,0,,,,,0,,0,0,5,1,06:06.15.2,1,06:06.2,06:06.2,,
Running,2021,December,11/12/2021,18:57,Saturday,4.25,311,00:26:19,26.32,148,169,3.1,157,170,06:11,02:19,64,65,1.03,,0,0,0,,01:12.08.3,5,00:26:08,00:26:19,349,375
Pool Swimming,2021,December,10/12/2021,14:55,Friday,1.55,297,00:30:44,30.73,127,165,2.3,0,0,01:54,01:18,,,0,600,38,20,0,,11:05.95.5,2,00:29:31,00:35:20,,
Strength Training,2021,December,09/12/2021,19:16,Thursday,0,14,00:01:53,1.88,113,118,0.1,0,0,,,,,0,,0,0,10,1,01:53.32.9,1,01:53.3,01:53.3,,
Strength Training,2021,December,09/12/2021,18:58,Thursday,0,118,00:16:50,16.83,115,132,0.7,0,0,,,,,0,,0,0,21,4,16:50.19.7,1,07:32.1,00:16:50,,
Running,2021,December,09/12/2021,18:22,Thursday,4.22,279,00:19:52,19.87,150,184,3.6,162,177,04:43,03:58,59,54,1.31,,0,0,0,,00:52.80.4,5,00:19:48,00:19:52,355,375
Pool Swimming,2021,December,06/12/2021,19:52,Monday,1.2,209,00:30:56,30.93,130,157,2.2,0,0,02:12,00:57,,,0,599,46,23,0,,30:56.21.4,1,00:26:26,00:34:01,,
Strength Training,2021,December,06/12/2021,19:23,Monday,0,161,00:21:38,21.63,120,138,1.2,0,0,,,,,0,,0,0,56,8,21:38.16.8,1,05:49.1,00:21:38,,
Treadmill Running,2021,December,06/12/2021,19:17,Monday,1.01,52,00:04:33,4.55,142,162,1.2,162,170,04:32,04:01,,,1.37,,0,0,0,,00:01.35.1,2,04:32.6,04:33.0,,
Running,2021,November,30/11/2021,19:46,Tuesday,0.05,3,00:00:59,0.98,84,101,0,48,183,19:46,04:40,,,1.05,,0,0,0,,00:58.89.8,1,00:00:24,00:58.9,,
Pool Swimming,2021,November,29/11/2021,18:43,Monday,1.25,169,00:25:51,25.85,138,160,2.4,0,0,02:31,01:53,,,0,590,52,23,0,,25:51.34.7,1,00:25:51,00:27:14,,
Strength Training,2021,November,27/11/2021,21:24,Saturday,0,63,00:07:52,7.87,124,144,0.8,0,0,,,,,0,,0,0,50,9,07:52.5,1,04:07.2,07:52.5,,
Running,2021,November,27/11/2021,20:46,Saturday,5.51,364,00:24:51,24.85,157,188,4.2,163,181,04:30,03:48,83,85,1.36,,0,0,0,,02:10.11.5,6,00:24:49,00:24:51,341,381
Pool Swimming,2021,November,26/11/2021,07:17,Friday,1.25,202,00:41:01,41.02,125,169,2.4,0,0,01:57,00:42,,,0,509,43,24,0,,00:02.32.2,5,00:24:16,00:41:32,,
Strength Training,2021,November,23/11/2021,19:46,Tuesday,0,96,00:10:41,10.68,131,146,1.3,0,0,,,,,0,,0,0,77,10,10:41.16.3,1,05:01.8,00:10:41,,
Running,2021,November,23/11/2021,19:14,Tuesday,5.8,382,00:26:11,26.18,156,194,4.1,164,185,04:31,03:11,86,72,1.35,,0,0,0,,03:25.42.5,6,00:26:10,00:26:11,349,376
Pool Swimming,2021,November,22/11/2021,19:36,Monday,0.55,95,00:11:52,11.87,125,140,1,0,0,02:09,01:43,,,0,209,42,18,0,,11:51.50.8,1,00:11:52,00:13:37,,
Pool Swimming,2021,November,17/11/2021,20:43,Wednesday,1.11,187,00:24:05,24.08,137,165,2.2,0,0,01:58,00:48,,,0,401,39,20,0,,24:05.30.1,1,00:19:38,00:26:09,,
Running,2021,November,16/11/2021,20:45,Tuesday,5.65,364,00:30:07,30.12,145,176,3,158,168,05:20,04:03,75,75,1.19,,0,0,0,,03:16.5,6,00:30:05,00:30:07,352,375
Strength Training,2021,November,13/11/2021,18:56,Saturday,0,74,00:08:31,8.52,124,145,0.7,0,0,,,,,0,,0,0,73,3,08:31.15.3,1,06:34.9,08:31.2,,
Strength Training,2021,November,13/11/2021,18:40,Saturday,0,136,00:14:52,14.87,129,150,1.5,0,0,,,,,0,,0,0,15,4,14:52.47.3,1,09:10.5,00:14:55,,
Running,2021,November,13/11/2021,18:04,Saturday,4,276,00:21:21,21.35,157,184,3.1,160,172,05:20,04:13,59,61,1.17,,0,0,0,,00:01.0,5,00:21:19,00:21:21,354,377
Pool Swimming,2021,November,12/11/2021,10:19,Friday,1.25,202,00:23:56,23.93,143,168,2.4,0,0,01:45,00:46,,,0,371,35,21,0,,23:55.57.2,1,00:17:58,00:24:45,,
Treadmill Running,2021,November,12/11/2021,09:17,Friday,4.01,310,00:21:12,21.2,172,203,4,158,174,05:18,04:30,,,1.2,,0,0,0,,00:01.49.3,5,00:21:12,00:21:12,,
Pool Swimming,2021,November,09/11/2021,17:05,Tuesday,1.35,284,00:44:20,44.33,109,142,0.9,0,0,01:52,00:30,,,0,613,39,24,0,,44:19.85.5,1,00:25:13,00:44:36,,
Pool Swimming,2021,November,07/11/2021,19:20,Sunday,1.11,182,00:20:19,20.32,120,143,1.1,0,0,01:56,00:55,,,0,395,39,20,0,,00:16.61.5,2,00:19:17,00:24:45,,
Running,2021,November,06/11/2021,18:04,Saturday,3.44,224,00:19:06,19.1,141,167,2.5,162,172,05:33,04:42,54,40,1.11,,0,0,0,,02:14.24.4,4,00:19:05,00:19:06,350,376
Pool Swimming,2021,November,04/11/2021,20:09,Thursday,0.75,123,00:16:53,16.88,125,151,1.3,0,0,02:15,01:37,,,0,412,48,24,0,,16:53.36.4,1,00:16:53,00:17:18,,
Pool Swimming,2021,October,31/10/2021,20:08,Sunday,1.05,200,00:27:20,27.33,132,162,2.1,0,0,02:02,01:10,,,0,423,41,20,0,,27:20.17.7,1,00:21:25,00:28:37,,
Running,2021,October,29/10/2021,06:47,Friday,21.42,1484,01:39:04,99.07,182,208,5,164,182,04:38,03:41,316,320,1.32,,0,0,0,,01:40.09.9,22,01:38:57,01:39:04,727,817
Strength Training,2021,October,26/10/2021,20:59,Tuesday,0,34,00:04:43,4.72,115,135,0.3,0,0,,,,,0,,0,0,41,2,04:43.15.1,1,02:08.0,04:43.2,,
Strength Training,2021,October,26/10/2021,20:40,Tuesday,0,85,00:14:52,14.87,105,133,0.4,0,0,,,,,0,,0,0,18,5,14:52.48.9,1,06:28.9,00:14:52,,
Pool Swimming,2021,October,25/10/2021,20:38,Monday,0.5,80,00:12:01,12.02,146,164,2.1,0,0,02:24,02:01,,,0,276,50,23,0,,12:01.09.1,1,00:12:01,00:12:12,,
Treadmill Running,2021,October,25/10/2021,19:57,Monday,4.73,353,00:23:26,23.43,182,191,4,158,179,04:57,04:17,,,1.27,,0,0,0,,04:20.94.6,5,00:23:10,00:23:26,,
Indoor Running,2021,October,25/10/2021,19:52,Monday,0.87,45,00:04:12,4.2,137,156,0.9,167,189,04:48,03:56,,,1.25,,0,0,0,,04:11.57.8,1,00:04:11,04:11.6,,
Pool Swimming,2021,October,24/10/2021,19:38,Sunday,1,179,00:20:14,20.23,111,140,0.8,0,0,01:59,01:19,,,0,404,40,20,0,,20:13.83.8,1,00:19:49,00:21:25,,
Strength Training,2021,October,24/10/2021,19:23,Sunday,0,45,00:06:52,6.87,115,129,0.4,0,0,,,,,0,,0,0,26,6,06:51.77.7,1,03:16.9,06:51.8,,
Running,2021,October,22/10/2021,06:56,Friday,18.02,1230,01:26:51,86.85,175,195,5,164,179,04:49,04:06,183,250,1.26,,0,0,0,,00:04.97.1,19,01:26:43,01:29:07,668,821
Strength Training,2021,October,21/10/2021,21:30,Thursday,0,37,00:07:31,7.52,100,123,0.2,0,0,,,,,0,,0,0,23,4,07:31.43.4,1,03:05.1,07:31.4,,
Running,2021,October,20/10/2021,20:39,Wednesday,7,457,00:36:01,36.02,154,180,3.6,160,173,05:09,04:23,103,119,1.2,,0,0,0,,00:00.55.1,8,00:35:59,00:36:01,340,380
Strength Training,2021,October,19/10/2021,20:08,Tuesday,0,63,00:09:36,9.6,115,136,0.5,0,0,,,,,0,,0,0,37,7,09:36.11.6,1,03:49.4,09:36.1,,
Strength Training,2021,October,18/10/2021,18:06,Monday,0,74,00:09:22,9.37,122,138,0.7,0,0,,,,,0,,0,0,21,5,09:22.28.4,1,04:17.5,09:22.3,,
Running,2021,October,18/10/2021,17:30,Monday,4.67,294,00:25:10,25.17,141,174,3,159,175,05:23,04:25,62,52,1.17,,0,0,0,,03:27.97.5,5,00:25:08,00:25:10,352,375
Pool Swimming,2021,October,15/10/2021,15:57,Friday,1.025,187,00:26:00,26,120,145,1.4,0,0,02:16,01:24,,,0,464,45,20,0,,00:00.15.5,4,00:23:18,00:31:07,,
Running,2021,October,14/10/2021,19:23,Thursday,15,1034,01:16:00,76,172,198,5,163,177,05:04,04:08,197,190,1.21,,0,0,0,,00:24.6,16,01:15:52,01:16:00,310,376
Running,2021,October,12/10/2021,21:23,Tuesday,7.01,465,00:35:02,35.03,167,192,4.1,164,175,05:00,04:08,102,87,1.22,,0,0,0,,00:01.81.2,8,00:35:00,00:35:02,344,382
Running,2021,October,09/10/2021,19:47,Saturday,5.01,324,00:27:10,27.17,146,180,3.2,161,173,05:26,04:32,71,60,1.15,,0,0,0,,00:01.64.6,6,00:27:08,00:27:10,353,376
Strength Training,2021,October,08/10/2021,17:37,Friday,0,36,00:06:09,6.15,107,120,0.2,0,0,,,,,0,,0,0,64,3,06:08.7,1,03:10.8,06:08.7,,
Strength Training,2021,October,08/10/2021,17:14,Friday,0,126,00:21:55,21.92,109,142,0.8,0,0,,,,,0,,0,0,18,5,21:55.40.5,1,00:13:23,00:21:58,,
Pool Swimming,2021,October,08/10/2021,12:12,Friday,1.05,193,00:23:20,23.33,121,146,1.5,0,0,02:11,01:20,,,0,458,44,20,0,,23:19.53.4,1,00:22:24,00:24:03,,
Pool Swimming,2021,October,05/10/2021,07:57,Tuesday,1,177,00:21:26,21.43,122,147,1.4,0,0,02:09,01:31,,,0,442,43,21,0,,03:10.86.3,3,00:21:26,00:25:19,,
Running,2021,October,04/10/2021,19:50,Monday,4.01,237,00:16:22,16.37,174,200,3.8,165,187,04:05,03:36,61,58,1.49,,0,0,0,,00:01.30.9,5,00:16:19,00:16:22,358,376
Pool Swimming,2021,October,01/10/2021,10:58,Friday,1.025,177,00:22:46,22.77,123,148,1.5,0,0,02:13,01:27,,,0,497,45,22,0,,11:00.43.7,2,00:22:46,00:24:49,,
Running,2021,September,29/09/2021,20:58,Wednesday,6,368,00:27:27,27.45,167,193,4,165,181,04:34,03:57,65,67,1.33,,0,0,0,,00:00.93.9,7,00:27:23,00:27:27,350,375
Pool Swimming,2021,September,28/09/2021,09:47,Tuesday,1,221,00:24:32,24.53,123,148,2,0,0,02:16,00:58,,,0,519,47,23,0,,24:32.44.3,1,00:22:36,00:24:42,,
Running,2021,September,25/09/2021,20:24,Saturday,12.02,792,00:59:04,59.07,169,193,5,165,178,04:55,04:07,167,170,1.23,,0,0,0,,00:04.70.6,13,00:59:02,00:59:08,330,382
Pool Swimming,2021,September,24/09/2021,08:40,Friday,0.5,90,00:09:43,9.72,135,150,1.8,0,0,01:57,01:31,,,0,206,39,21,0,,09:42.57.2,1,09:42.6,00:11:24,,
Treadmill Running,2021,September,24/09/2021,07:43,Friday,5.06,345,00:25:46,25.77,169,186,4,158,177,05:06,04:33,,,1.23,,0,0,0,,01:37.56.8,6,00:25:40,00:25:46,,
Pool Swimming,2021,September,23/09/2021,07:59,Thursday,1.5,260,00:36:49,36.82,132,153,2.4,0,0,02:20,01:17,,,0,734,47,21,0,,36:49.25.8,1,00:35:05,00:37:05,,
Strength Training,2021,September,22/09/2021,19:17,Wednesday,0,63,00:10:00,10,109,123,0.4,0,0,,,,,0,,0,0,10,2,09:59.72.1,1,09:56.7,09:59.7,,
Strength Training,2021,September,22/09/2021,19:02,Wednesday,0,69,00:10:08,10.13,117,137,0.6,0,0,,,,,0,,0,0,49,6,10:07.65.4,1,07:25.5,00:10:08,,
Strength Training,2021,September,22/09/2021,18:44,Wednesday,0,76,00:12:22,12.37,114,139,0.7,0,0,,,,,0,,0,0,74,11,12:22.47.6,1,05:00.2,00:12:22,,
Strength Training,2021,September,21/09/2021,21:05,Tuesday,0,56,00:07:09,7.15,121,148,0.6,0,0,,,,,0,,0,0,38,3,07:09.22.8,1,03:07.1,07:09.2,,
Strength Training,2021,September,21/09/2021,20:58,Tuesday,0,59,00:06:00,6,139,164,1.4,0,0,,,,,0,,0,0,34,7,06:00.10.8,1,02:08.3,06:00.1,,
Running,2021,September,21/09/2021,19:58,Tuesday,8.72,604,00:44:07,44.12,173,201,5,160,170,05:04,04:19,121,107,1.23,,0,0,0,,03:28.79.6,9,00:00:00,00:44:14,334,381
Running,2021,September,18/09/2021,20:05,Saturday,4.01,267,00:23:24,23.4,145,179,3,158,170,05:50,04:54,34,42,1.09,,0,0,0,,00:03.64.8,5,00:00:00,00:23:24,355,374
Pool Swimming,2021,September,10/09/2021,16:49,Friday,1.025,203,00:21:53,21.88,125,153,1.7,0,0,01:59,00:49,,,0,422,40,21,0,,04:29.59.7,3,00:00:00,00:27:58,,
Running,2021,September,04/09/2021,21:11,Saturday,10.01,688,00:54:30,54.5,161,186,4.4,162,173,05:27,04:32,149,158,1.13,,0,0,0,,00:01.41.9,11,00:00:00,00:54:30,310,376
Strength Training,2021,September,02/09/2021,20:10,Thursday,0,108,00:10:18,10.3,142,166,2,0,0,,,,,0,,0,0,37,8,10:18.01.3,1,04:50.8,00:10:18,,
Running,2021,September,02/09/2021,19:53,Thursday,2.01,124,00:10:33,10.55,143,162,2.3,161,168,05:15,04:25,32,16,1.18,,0,0,0,,00:01.70.5,3,00:00:00,00:10:33,347,371
Pool Swimming,2021,September,01/09/2021,18:36,Wednesday,1.11,191,00:29:47,29.78,128,172,2.2,0,0,01:58,00:51,,,0,437,41,22,0,,29:46.59.2,1,00:00:00,00:29:59,,
Running,2021,August,28/08/2021,20:33,Saturday,6.03,413,00:33:54,33.9,156,176,3.6,157,166,05:37,04:45,54,51,1.13,,0,0,0,,00:02.72.3,8,00:00:00,00:36:15,708,767
Running,2021,August,26/08/2021,19:51,Thursday,4.15,246,00:19:39,19.65,156,187,3.3,161,173,04:44,04:10,71,61,1.31,,0,0,0,,00:39.48.3,5,00:00:00,00:19:55,351,377
Pool Swimming,2021,August,23/08/2021,11:11,Monday,1.25,198,00:26:16,26.27,141,178,2.5,0,0,02:01,00:53,,,0,462,42,22,0,,00:57.0,6,00:00:00,00:31:45,,
