Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019,December,29/12/2019,09:01,Sunday,0,,00:00:04,0.07,0,0,,,,,,,,0,,0,0,0,,00:00.0,1,00:00:00,01:09.1,362,363
Running,2019,December,29/12/2019,04:27,Sunday,0.01,,00:01:20,1.33,0,0,,13,122,,10:34,,,0.25,,0,0,0,,00:00.96.6,6,00:00:10,03:22.7,,
Running,2019,December,28/12/2019,19:12,Saturday,2.07,140,00:12:03,12.05,0,0,,157,169,05:50,04:44,142,172,1.09,,0,0,0,,00:24.02.5,3,00:12:02,00:27:45,345,430
Pool Swimming,2019,December,27/12/2019,09:10,Friday,0.45,92,00:09:57,9.95,0,0,,0,0,01:48,01:01,,,0,175,37,22,0,,00:00.0,1,08:05.3,00:10:04,,
Trail Running,2019,December,27/12/2019,08:19,Friday,1.91,125,00:11:40,11.67,0,0,,144,171,06:06,05:08,,,1.14,,0,0,0,,05:48.86.7,2,00:11:40,00:11:40,,
Running,2019,December,24/12/2019,22:18,Tuesday,5.56,379,00:26:04,26.07,0,0,,163,174,04:41,04:01,163,176,1.31,,0,0,0,,02:21.32.6,6,00:26:02,00:26:13,336,388
Running,2019,December,21/12/2019,17:21,Saturday,3.59,244,00:21:01,21.02,0,0,,156,180,05:51,04:07,103,93,1.09,,0,0,0,,02:33.35.8,4,00:20:35,00:35:03,25,53
Running,2019,December,20/12/2019,08:06,Friday,12.4,803,01:05:52,65.87,0,0,,161,220,05:19,03:08,"1,155","1,162",1.17,,0,0,0,,02:29.27.6,13,01:05:28,01:17:22,-21,99
Running,2019,December,18/12/2019,20:07,Wednesday,4.95,333,00:30:17,30.28,0,0,,159,176,06:07,04:33,155,176,1.03,,0,0,0,,05:34.36.8,5,00:30:16,00:30:17,354,388
Running,2019,December,14/12/2019,18:15,Saturday,5.24,319,00:33:54,33.9,0,0,,170,226,06:28,02:55,514,214,0.91,,0,0,0,,01:03.88.9,6,00:33:52,00:38:31,79,403
Running,2019,December,13/12/2019,09:10,Friday,3.35,229,00:19:36,19.6,0,0,,161,178,05:51,04:22,125,120,1.06,,0,0,0,,02:20.92.1,4,00:19:16,00:22:08,537,607
Running,2019,December,10/12/2019,21:23,Tuesday,4.77,320,00:29:16,29.27,0,0,,158,178,06:08,03:37,208,208,1.03,,0,0,0,,04:11.64.5,5,00:28:53,00:29:16,348,400
Running,2019,December,07/12/2019,18:10,Saturday,4.94,327,00:31:43,31.72,0,0,,170,178,06:25,04:38,582,369,0.92,,0,0,0,,05:17.44.6,5,00:31:42,00:32:38,146,406
Running,2019,December,04/12/2019,16:26,Wednesday,5.11,348,00:23:28,23.47,0,0,,160,184,04:35,03:09,165,162,1.36,,0,0,0,,00:28.47.2,6,00:23:26,00:30:14,348,395
Running,2019,December,02/12/2019,20:37,Monday,6.02,303,00:52:08,52.13,0,0,,125,248,08:39,03:15,375,348,0.92,,0,0,0,,00:12.58.8,7,00:51:55,00:57:33,-31,30
Running,2019,November,29/11/2019,09:21,Friday,4.72,321,00:26:29,26.48,0,0,,158,177,05:37,03:34,153,131,1.13,,0,0,0,,03:41.77.2,5,00:26:29,00:27:36,351,392
Running,2019,November,25/11/2019,21:16,Monday,4.53,305,00:20:46,20.77,0,0,,162,174,04:35,03:38,623,596,1.35,,0,0,0,,02:38.80.7,5,00:20:45,00:20:46,110,557
Running,2019,November,23/11/2019,19:19,Saturday,2.52,170,00:11:09,11.15,0,0,,164,175,04:25,03:43,109,112,1.38,,0,0,0,,02:10.81.5,3,00:11:08,00:11:10,356,385
Running,2019,November,23/11/2019,17:53,Saturday,4.49,297,00:29:02,29.03,0,0,,167,182,06:28,03:59,380,297,0.93,,0,0,0,,02:55.78.3,5,00:29:01,00:29:03,214,402
Pool Swimming,2019,November,22/11/2019,09:39,Friday,0.475,99,00:12:31,12.52,0,0,,0,0,01:57,00:58,,,0,201,40,22,0,,00:00.0,1,09:15.0,00:12:36,,
Running,2019,November,16/11/2019,18:14,Saturday,4.37,293,00:30:21,30.35,0,0,,166,205,06:57,05:14,241,244,0.87,,0,0,0,,03:24.37.8,5,00:30:19,00:31:15,338,383
Running,2019,November,15/11/2019,09:21,Friday,3.96,270,00:22:48,22.8,0,0,,160,171,05:46,04:20,170,175,1.08,,0,0,0,,05:19.75.7,4,00:22:47,00:24:09,551,595
Running,2019,November,12/11/2019,20:21,Tuesday,5,342,00:27:29,27.48,0,0,,155,171,05:30,04:31,185,204,1.17,,0,0,0,,00:00.91.2,6,00:27:09,00:27:51,364,399
Pool Swimming,2019,November,08/11/2019,12:52,Friday,0.975,177,00:27:40,27.67,0,0,,0,0,02:23,00:59,,,0,517,49,22,0,,00:00.54.6,6,00:23:13,00:28:23,,
Running,2019,November,08/11/2019,06:34,Friday,4.09,279,00:25:45,25.75,0,0,,168,178,06:18,02:40,488,255,0.95,,0,0,0,,00:23.62.4,5,00:25:44,00:25:45,116,439
Pool Swimming,2019,November,05/11/2019,20:57,Tuesday,0.675,122,00:24:37,24.62,0,0,,0,0,02:05,00:51,,,0,334,44,24,0,,00:00.0,1,00:14:05,00:25:01,,
Running,2019,November,02/11/2019,19:17,Saturday,4.12,280,00:21:53,21.88,0,0,,156,173,05:19,04:14,142,174,1.21,,0,0,0,,00:34.06.2,5,00:21:51,00:21:53,356,402
Running,2019,November,02/11/2019,17:58,Saturday,4.58,305,00:31:31,31.52,0,0,,167,180,06:53,04:36,266,288,0.87,,0,0,0,,03:17.50.7,5,00:31:27,00:37:18,337,382
Cycling,2019,November,01/11/2019,09:54,Friday,14.24,480,00:50:19,50.32,0,0,,0,0,17,45.3,239,300,0,,0,0,0,,11:56.37.5,3,00:47:57,00:50:19,308,515
Pool Swimming,2019,November,01/11/2019,08:24,Friday,0.4,72,00:12:58,12.97,0,0,,0,0,02:06,00:57,,,0,214,45,25,0,,00:00.0,1,08:24.1,00:13:09,,
Cycling,2019,November,01/11/2019,06:16,Friday,16.94,644,01:24:45,84.75,0,0,,0,0,12,38.9,460,294,0,,0,0,0,,13:46.94.3,4,01:19:26,01:44:07,309,605
Running,2019,October,30/10/2019,20:09,Wednesday,3.96,270,00:17:56,17.93,0,0,,166,178,04:32,03:58,144,131,1.33,,0,0,0,,04:11.7,4,00:17:55,00:17:56,343,386
Running,2019,October,26/10/2019,20:09,Saturday,4.89,332,00:30:06,30.1,0,0,,155,169,06:10,03:53,352,345,1.05,,0,0,0,,05:15.65.7,5,00:29:37,00:30:06,347,418
Pool Swimming,2019,October,25/10/2019,16:19,Friday,0.65,133,00:17:55,17.92,0,0,,0,0,02:13,00:53,,,0,318,46,22,0,,00:00.0,1,00:14:26,00:18:09,,
Running,2019,October,25/10/2019,08:06,Friday,2.57,175,00:12:07,12.12,0,0,,165,176,04:42,04:02,118,129,1.29,,0,0,0,,02:39.15.8,3,00:12:06,00:12:58,345,399
Pool Swimming,2019,October,23/10/2019,21:16,Wednesday,0.6,92,00:14:25,14.42,0,0,,0,0,02:15,01:39,,,0,285,55,21,0,,00:00.52.9,8,00:13:30,00:19:09,,
Running,2019,October,19/10/2019,19:02,Saturday,5.02,342,00:26:29,26.48,0,0,,158,181,05:16,01:57,170,148,1.2,,0,0,0,,00:07.05.9,6,00:26:26,00:26:31,131,180
Pool Swimming,2019,October,15/10/2019,20:40,Tuesday,0.75,146,00:19:09,19.15,0,0,,0,0,02:31,01:20,,,0,444,53,24,0,,00:00.0,1,00:18:52,00:19:14,,
Running,2019,October,13/10/2019,09:45,Sunday,3.04,207,00:17:35,17.58,0,0,,169,182,05:47,04:22,133,130,1.02,,0,0,0,,00:16.22.5,4,00:17:29,00:17:36,-26,12
Running,2019,October,01/10/2019,19:31,Tuesday,4.01,274,00:18:44,18.73,0,0,,160,171,04:40,04:01,162,164,1.34,,0,0,0,,00:01.95.2,5,00:18:43,00:18:44,353,389
Running,2019,September,14/09/2019,20:44,Saturday,5.05,345,00:31:54,31.9,0,0,,152,167,06:19,04:25,230,223,1.04,,0,0,0,,00:18.4,6,00:31:51,00:43:42,327,381
Running,2019,September,08/09/2019,20:41,Sunday,3.02,205,00:12:22,12.37,0,0,,165,180,04:05,03:04,75,128,1.48,,0,0,0,,00:06.0,4,00:12:20,00:12:47,340,404
Pool Swimming,2019,September,06/09/2019,15:40,Friday,0.975,197,00:22:49,22.82,0,0,,0,0,02:02,00:53,,,0,438,42,22,0,,00:00.0,1,00:19:53,00:22:58,,
Running,2019,August,28/08/2019,18:40,Wednesday,4.52,299,00:28:47,28.78,0,0,,158,182,06:22,03:14,185,166,0.99,,0,0,0,,03:34.5,5,00:28:47,00:29:54,974,"1,074"
Running,2019,March,29/03/2019,09:36,Friday,4.38,297,00:24:59,24.98,0,0,,164,177,05:42,02:29,209,189,1.07,,0,0,0,,01:55.58.4,5,00:24:58,00:25:15,325,387
Running,2019,March,23/03/2019,19:22,Saturday,5.4,370,00:27:03,27.05,0,0,,160,173,05:00,02:29,173,256,1.24,,0,0,0,,01:50.43.1,6,00:27:02,00:27:38,336,450
Running,2019,March,15/03/2019,09:41,Friday,9.7,633,00:55:30,55.5,0,0,,159,181,05:43,04:33,884,472,1.1,,0,0,0,,04:02.83.5,10,00:55:28,00:55:54,355,817
Running,2019,March,13/03/2019,15:24,Wednesday,2.17,150,00:09:57,9.95,0,0,,165,174,04:35,04:03,92,75,1.33,,0,0,0,,00:49.42.1,3,09:55.7,09:57.1,353,390
Pool Swimming,2019,March,12/03/2019,18:41,Tuesday,0.525,93,00:15:38,15.63,0,0,,0,0,02:20,00:50,,,0,299,49,24,0,,00:00.0,1,00:12:15,00:16:08,,
Cross Country Classic Skiing,2019,March,11/03/2019,14:10,Monday,2.1,,00:05:05,5.08,0,0,,64,126,24.9,,,,6.49,,0,0,0,,00:00.0,1,00:00:00,05:04.6,"1,475","1,952"
Cross Country Classic Skiing,2019,March,11/03/2019,13:47,Monday,3.72,,00:12:05,12.08,0,0,,59,144,18.5,,,,5.22,,0,0,0,,00:00.0,1,00:00:00,00:12:05,"1,411","2,260"
Cross Country Classic Skiing,2019,March,11/03/2019,12:53,Monday,4.42,,00:08:31,8.52,0,0,,67,155,31.2,,,,7.71,,0,0,0,,00:00.0,1,00:00:00,08:30.8,"1,554","2,257"
Cross Country Classic Skiing,2019,March,10/03/2019,14:05,Sunday,1.7,,00:05:08,5.13,0,0,,86,145,19.9,,,,3.87,,0,0,0,,00:00.0,1,00:00:00,06:26.2,"1,862","2,232"
Cross Country Classic Skiing,2019,March,10/03/2019,13:12,Sunday,2.84,,00:12:47,12.78,0,0,,36,124,13.3,,,,6.09,,0,0,0,,00:00.0,1,00:00:00,00:27:44,"1,672","2,250"
Cross Country Classic Skiing,2019,March,10/03/2019,12:32,Sunday,3.77,,00:15:13,15.22,0,0,,45,128,14.9,,,,5.49,,0,0,0,,00:00.0,1,00:00:00,00:15:13,"1,535","2,062"
Cross Country Classic Skiing,2019,March,10/03/2019,09:48,Sunday,4.3,,00:13:40,13.67,0,0,,49,131,18.9,,,,6.44,,0,0,0,,00:01.29.1,6,00:00:00,00:21:05,"1,719","2,381"
Cross Country Classic Skiing,2019,March,08/03/2019,11:08,Friday,4.44,,00:12:06,12.1,0,0,,58,141,22,,,,6.31,,0,0,0,,00:00.0,1,00:00:00,00:12:06,"1,551","2,260"
Cross Country Classic Skiing,2019,March,07/03/2019,14:38,Thursday,3.03,,00:10:49,10.82,0,0,,53,235,16.8,,,,5.31,,0,0,0,,00:00.0,1,00:00:00,00:10:49,"1,785","2,259"
Cross Country Classic Skiing,2019,March,06/03/2019,15:58,Wednesday,0.41,,00:01:21,1.35,0,0,,19,121,18.3,,,,15.66,,0,0,0,,00:00.0,1,00:00:00,01:20.9,"2,011","2,087"
Cross Country Classic Skiing,2019,March,06/03/2019,15:10,Wednesday,0.01,,00:00:36,0.6,0,0,,22,121,0.8,,,,0.63,,0,0,0,,00:03.20.6,3,00:00:00,00:36.0,"2,095","2,107"
Cross Country Classic Skiing,2019,March,06/03/2019,13:03,Wednesday,3.05,,00:09:32,9.53,0,0,,61,135,19.2,,,,5.29,,0,0,0,,00:00.0,1,00:00:00,09:32.2,"1,459","2,095"
Cross Country Classic Skiing,2019,March,06/03/2019,12:25,Wednesday,1.22,,00:07:46,7.77,0,0,,30,151,9.4,,,,5.25,,0,0,0,,00:00.0,1,00:00:00,07:45.7,"1,470","1,719"
Resort Skiing/Snowboarding,2019,March,06/03/2019,12:21,Wednesday,0,,00:00:02,0.03,0,0,,0,0,,,,6,0,,0,0,0,,00:00.0,1,00:00:00,00:03.0,"2,185","2,191"
Cross Country Classic Skiing,2019,March,06/03/2019,03:03,Wednesday,0,,00:00:00,0,0,0,,0,0,,,,,0,,0,0,0,,00:00.0,1,00:00:00,00:00:00,,
Pool Swimming,2019,March,04/03/2019,12:19,Monday,0.5,80,00:11:35,11.58,0,0,,0,0,02:15,00:49,,,0,257,46,23,0,,00:00.0,1,00:11:13,00:12:00,,
Running,2019,February,22/02/2019,06:18,Friday,21.45,1447,01:37:17,97.28,0,0,,164,178,04:32,03:40,"2,135","2,119",1.34,,0,0,0,,04:10.60.8,22,01:36:39,01:37:17,-94,220
Pool Swimming,2019,February,17/02/2019,21:21,Sunday,0.375,70,00:07:39,7.65,0,0,,0,0,02:02,01:07,,,0,172,42,22,0,,00:00.0,1,07:39.0,08:12.2,,
Running,2019,February,16/02/2019,19:05,Saturday,5.36,364,00:28:21,28.35,0,0,,161,182,05:17,03:55,199,316,1.17,,0,0,0,,05:04.30.5,6,00:28:06,00:28:58,359,480
Pool Swimming,2019,February,15/02/2019,16:10,Friday,0.5,93,00:13:52,13.87,0,0,,0,0,02:14,01:09,,,0,236,45,21,0,,00:27.96.4,2,00:11:10,00:14:12,,
Running,2019,February,14/02/2019,08:22,Thursday,8.03,550,00:39:03,39.05,0,0,,165,176,04:52,03:29,670,294,1.25,,0,0,0,,04:25.53.6,9,00:38:43,00:43:44,137,547
Running,2019,February,08/02/2019,08:09,Friday,17.09,1158,01:34:08,94.13,0,0,,159,194,05:30,02:11,748,719,1.14,,0,0,0,,05:06.43.7,18,01:33:19,01:37:22,-6,65
Running,2019,February,05/02/2019,21:34,Tuesday,9.04,614,00:40:14,40.23,0,0,,163,176,04:27,03:49,307,287,1.38,,0,0,0,,04:16.70.5,10,00:39:44,00:40:26,45,95
Running,2019,February,02/02/2019,18:49,Saturday,10.11,689,00:58:04,58.07,0,0,,158,180,05:45,03:33,494,484,1.1,,0,0,0,,05:10.09.3,11,00:57:34,01:01:41,331,394
Pool Swimming,2019,February,01/02/2019,15:59,Friday,0.5,97,00:14:33,14.55,0,0,,0,0,01:56,00:44,,,0,210,39,22,0,,00:00.0,1,09:38.9,00:14:51,,
Trail Running,2019,January,31/01/2019,18:23,Thursday,0.1,5,00:00:18,0.3,0,0,,143,232,02:58,02:15,3,,2.36,,0,0,0,,00:00.0,1,00:00:14,00:17.6,40,44
Trail Running,2019,January,31/01/2019,18:21,Thursday,0.1,4,00:00:17,0.28,0,0,,150,229,02:52,02:15,3,,2.32,,0,0,0,,00:00.0,1,00:00:14,00:31.6,39,44
Trail Running,2019,January,31/01/2019,18:20,Thursday,0.08,3,00:00:14,0.23,0,0,,105,124,02:40,02:12,,1,3.59,,0,0,0,,00:00.0,1,00:00:10,00:13.5,37,39
Trail Running,2019,January,31/01/2019,18:18,Thursday,0.1,4,00:00:16,0.27,0,0,,113,121,02:45,02:12,1,,3.2,,0,0,0,,00:00.0,1,00:00:15,00:16.1,39,41
Trail Running,2019,January,31/01/2019,18:15,Thursday,0.2,11,00:01:05,1.08,0,0,,147,164,05:26,02:14,3,5,1.25,,0,0,0,,00:00.0,1,00:00:59,01:53.9,34,42
Running,2019,January,31/01/2019,17:57,Thursday,3.11,207,00:14:23,14.38,0,0,,167,185,04:37,03:15,178,190,1.29,,0,0,0,,04:13.73.5,4,00:14:12,00:15:43,33,93
Running,2019,January,25/01/2019,16:18,Friday,7.01,481,00:43:14,43.23,0,0,,157,167,06:10,04:08,244,254,1.03,,0,0,0,,00:00.0,8,00:42:46,00:43:14,0,35
Running,2019,January,23/01/2019,16:50,Wednesday,6.81,469,00:32:14,32.23,0,0,,164,180,04:44,03:44,172,196,1.29,,0,0,0,,00:00.0,7,00:31:48,00:32:14,50,89
Cross Country Classic Skiing,2019,January,20/01/2019,09:51,Sunday,2.57,,00:33:04,33.07,0,0,,46,170,4.7,,,,1.7,,0,0,0,,00:00.0,1,00:00:00,00:33:04,"1,640","2,002"
Cross Country Classic Skiing,2019,January,20/01/2019,09:14,Sunday,3.43,,00:27:08,27.13,0,0,,25,154,7.6,,,,5.09,,0,0,0,,00:00.0,1,00:00:00,00:27:08,"1,664","1,996"
Running,2019,January,19/01/2019,18:30,Saturday,8.48,572,00:46:31,46.52,0,0,,162,201,05:29,02:11,360,320,1.12,,0,0,0,,00:00.0,9,00:46:13,00:48:25,324,413
Pool Swimming,2019,January,18/01/2019,15:46,Friday,0.05,11,00:00:48,0.8,0,0,,0,0,01:36,01:30,,,0,22,35,28,0,,00:00.0,1,00:47.8,01:13.3,,
Running,2019,January,15/01/2019,10:19,Tuesday,4.01,268,00:20:36,20.6,0,0,,166,186,05:09,02:41,185,166,1.17,,0,0,0,,00:00.0,5,00:20:35,00:24:54,782,836
Running,2019,January,11/01/2019,13:48,Friday,10.02,666,00:54:13,54.22,0,0,,164,178,05:25,01:47,582,589,1.12,,0,0,0,,00:00.0,11,00:54:13,00:55:45,-39,55
Pool Swimming,2019,January,10/01/2019,21:14,Thursday,1.1,172,00:21:22,21.37,0,0,,0,0,02:08,00:54,,,0,482,44,23,0,,00:00.0,1,00:21:22,00:21:31,,
Running,2019,January,06/01/2019,15:16,Sunday,8.02,539,00:37:24,37.4,0,0,,164,178,04:40,03:45,302,323,1.31,,0,0,0,,00:00.0,9,00:37:18,00:37:24,150,218
Running,2019,January,04/01/2019,11:30,Friday,11.72,786,01:11:14,71.23,0,0,,152,223,06:05,04:18,471,527,1.08,,0,0,0,,00:00.0,12,01:10:02,01:11:14,163,334
Running,2018,December,31/12/2018,17:24,Monday,6.27,424,00:31:35,31.58,0,0,,159,174,05:02,03:53,142,173,1.25,,0,0,0,,00:00.0,7,00:31:35,00:31:35,60,101
Pool Swimming,2018,December,28/12/2018,15:47,Friday,0.475,78,00:11:52,11.87,0,0,,0,0,02:30,01:28,,,0,279,52,24,0,,00:00.0,1,00:11:52,00:12:01,,
Running,2018,December,28/12/2018,09:47,Friday,12.01,806,01:10:10,70.17,0,0,,159,171,05:50,03:20,490,474,1.08,,0,0,0,,00:00.0,13,01:10:10,01:10:10,-15,41
Pool Swimming,2018,December,27/12/2018,21:26,Thursday,0.275,48,00:05:43,5.72,0,0,,0,0,02:05,01:25,,,0,140,44,24,0,,00:00.0,1,05:43.2,08:01.3,,
Treadmill Running,2018,December,25/12/2018,22:26,Tuesday,5.87,398,00:36:27,36.45,0,0,,158,177,06:12,04:13,,,1.02,,0,0,0,,00:00.0,6,00:36:27,00:36:30,841,841
Running,2018,December,24/12/2018,21:06,Monday,0.24,10,00:02:15,2.25,0,0,,135,162,09:18,07:48,,9,0.8,,0,0,0,,00:00.0,1,00:02:00,02:14.9,813,822
Running,2018,December,24/12/2018,21:05,Monday,0.07,3,00:00:45,0.75,0,0,,123,128,10:16,09:30,2,18,0.79,,0,0,0,,00:00.0,1,00:00:43,00:45.1,823,841
Treadmill Running,2018,December,23/12/2018,21:13,Sunday,3.37,227,00:21:41,21.68,0,0,,153,171,06:27,04:08,,,1.01,,0,0,0,,00:00.0,4,00:21:33,00:21:41,,
Running,2018,November,24/11/2018,18:47,Saturday,5.02,151,00:33:32,33.53,0,0,,155,169,06:41,04:12,181,178,0.96,,0,0,0,,00:00.0,6,00:33:30,00:33:32,321,382
Running,2018,November,20/11/2018,16:20,Tuesday,5.01,150,00:23:21,23.35,0,0,,161,171,04:40,03:36,77,94,1.33,,0,0,0,,00:00.0,6,00:23:21,00:23:21,311,394
Running,2018,November,17/11/2018,17:56,Saturday,7.25,214,00:43:19,43.32,0,0,,156,226,05:58,03:53,747,597,1.07,,0,0,0,,00:00.0,8,00:42:42,00:45:21,657,840
Pool Swimming,2018,November,16/11/2018,13:43,Friday,0.325,26,00:08:30,8.5,0,0,,0,0,02:24,02:04,,,0,185,50,24,0,,00:00.0,1,07:49.3,08:55.4,,
Pool Swimming,2018,November,16/11/2018,13:35,Friday,0.325,18,00:06:00,6,0,0,,0,0,02:05,01:23,,,0,112,44,24,0,,00:00.0,1,04:40.8,06:12.8,,
Running,2018,November,13/11/2018,18:54,Tuesday,2.11,319,00:16:10,16.17,0,0,,163,177,07:40,04:16,,,1.29,,0,0,0,,00:00.0,4,00:16:10,00:16:10,,
Running,2018,June,11/06/2018,20:32,Monday,5,464,00:21:17,21.28,0,0,,159,171,04:15,03:45,151,153,1.48,,0,0,0,,00:00.0,5,00:21:17,00:21:17,54,74
Running,2018,June,04/06/2018,06:33,Monday,6.84,633,00:30:30,30.5,0,0,,164,226,04:28,01:51,186,200,1.37,,0,0,0,,00:00.0,7,00:30:30,00:30:30,62,94
Running,2018,May,13/05/2018,08:02,Sunday,5,466,00:22:21,22.35,0,0,,160,170,04:28,03:59,178,185,1.4,,0,0,0,,00:00.0,6,00:22:20,00:22:21,45,79
Pool Swimming,2017,August,03/08/2017,15:35,Thursday,0.675,54,00:22:12,22.2,0,0,,0,0,02:48,00:50,,,0,447,58,24,0,,00:00.0,,00:18:52,00:22:19,,
Running,2017,July,29/07/2017,21:12,Saturday,3.67,89,00:30:41,30.68,0,0,,132,170,08:22,01:35,54,44,0.91,,0,0,0,,00:00.0,,00:30:39,00:30:41,328,382
Walking,2017,July,28/07/2017,18:47,Friday,0.77,15,00:09:05,9.08,0,0,,116,180,11:47,06:52,23,6,0.73,,0,0,0,,00:00.0,,00:08:20,09:04.6,377,403
Running,2017,July,28/07/2017,18:24,Friday,2.77,61,00:22:08,22.13,0,0,,154,247,08:00,04:43,54,37,0.81,,0,0,0,,00:00.0,,00:21:39,00:22:10,324,381
Running,2017,July,25/07/2017,19:40,Tuesday,3.19,83,00:19:37,19.62,0,0,,162,172,06:09,04:45,,,1.01,,0,0,0,,00:00.0,,00:19:37,00:19:37,,
